anchor_hs4,anchor_product_name_short,anchor_sector,anchor_hs_section_name,anchor_density,anchor_density_percentile,anchor_embeddedness,candidate_hs4,candidate_product_name_short,candidate_sector,candidate_hs_section_name,proximity,proximity_above_country_median,proximity_rank,eligible_candidate_count,pci,cog,distance_travelled,accessible_market_size,accessible_market_size_share,accessible_market_growth_5y,dai_index,dai_percentile,dai_lead,alignment_weighted_percentile,pci_norm,cog_norm,accessible_market_size_norm,accessible_market_growth_norm,nai_norm,attractiveness_score,feasibility_score,combined_score
0101,Horses,Agriculture,1. Live animals; animal products,0.18223009410514832,11.842105263157894,42.981649942866845,3504,Peptones,Chemicals,6. Products of the chemical or allied industries,0.35350805269204755,1,1,1065,3.0839619645010554,0.7737805502478704,5888.957221166063,182736489.0,0.0001281970788661736,0.1059561875870938,1.0102200512127164,48.38709677419355,-12.903225806451609,48.38709677419355,0.8748824798500158,0.8951069646658187,0.0007623617351949225,0.3609040306422425,0.4666666666666667,0.6737462644371577,0.4666666666666667,0.6116223851060103
0101,Horses,Agriculture,1. Live animals; animal products,0.18223009410514832,11.842105263157894,42.981649942866845,1506,Other animal fats and oils,Agriculture,3. Animal or vegetable fats and oils,0.32443868732318915,1,2,1065,3.0006592237216574,0.7977079984737959,3253.9107208963305,3689364.0,2.5882388912157645e-06,0.03959777786811092,0.7142998926912812,12.903225806451612,-58.064516129032256,12.903225806451612,0.8672006736813095,0.9171803650498359,1.5391725846312392e-05,0.32877439656339624,0.09999999999999998,0.6738518317992873,0.09999999999999998,0.5016962822595011
0101,Horses,Agriculture,1. Live animals; animal products,0.18223009410514832,11.842105263157894,42.981649942866845,0204,Lamb,Agriculture,1. Live animals; animal products,0.31718797531739223,1,3,1065,-1.8642437122654596,0.18164513226569992,9070.491862317158,1873563013.0,0.0013143806508086452,0.08152166993689058,0.648952826484111,6.666666666666667,-59.99999999999999,6.666666666666667,0.4185810840475135,0.3488538899850055,0.007816352154974955,0.34907324514996213,0.035555555555555556,0.32213568050712216,0.035555555555555556,0.23616164302165216
0101,Horses,Agriculture,1. Live animals; animal products,0.18223009410514832,11.842105263157894,42.981649942866845,1603,Extracts and juices of meat or fish,Agriculture,"4. Prepared foodstuffs; beverages, spirits and tobacco",0.3165524546179331,1,4,1065,1.6495566590155604,0.6326379307882379,5269.097329463604,1126167.0,7.90051951340064e-07,0.007783219281380038,0.48968250145832587,6.451612903225806,-64.51612903225806,6.451612903225806,0.7426080382048873,0.7649009551839645,4.698276917421021e-06,0.31337031846537533,0.033333333333333326,0.5746344001974418,0.033333333333333326,0.4122440801382093
0101,Horses,Agriculture,1. Live animals; animal products,0.18223009410514832,11.842105263157894,42.981649942866845,5905,Textile wall coverings,Textiles,11. Textiles and textile articles,0.3113674613353689,1,5,1065,2.8011692338127676,0.8010732903339659,5129.123455131751,866245.0,6.077060973981422e-07,-0.10938636371969124,0.6315649510499831,6.451612903225806,-64.51612903225806,6.451612903225806,0.8488045990655232,0.9202848931189059,3.6139035225960026e-06,0.25663876261679536,0.033333333333333326,0.6576776787425977,0.033333333333333326,0.4703743751198184
0101,Horses,Agriculture,1. Live animals; animal products,0.18223009410514832,11.842105263157894,42.981649942866845,9019,Therapy applicances,Machinery,"18. Optical, photographic, medical and musical instruments",0.30882429172453285,1,6,1065,2.674585537081067,0.6863486531122506,7504.580484916327,706019501.0,0.0004953013935314996,-0.09596946151891073,0.8225320023505662,12.903225806451612,-16.12903225806452,12.903225806451612,0.8371316167204845,0.8144498359328994,0.002945455802556288,0.2631350026564271,0.09999999999999998,0.617965577197532,0.09999999999999998,0.4625759040382723
0101,Horses,Agriculture,1. Live animals; animal products,0.18223009410514832,11.842105263157894,42.981649942866845,3822,Diagnostic or laboratory reagents,Chemicals,6. Products of the chemical or allied industries,0.2996957420518412,1,7,1065,2.8435557489649033,0.7936378185728911,5862.295388349084,21754245.0,1.526148760546156e-05,-0.5658051519912364,1.0601529083521284,74.19354838709677,19.354838709677416,74.19354838709677,0.8527132939118058,0.9134255680593943,9.075693670603175e-05,0.03564840561491349,0.7333333333333333,0.6235094760726629,0.7333333333333333,0.656456633250864
0101,Horses,Agriculture,1. Live animals; animal products,0.18223009410514832,11.842105263157894,42.981649942866845,9702,Original engravings,Textiles,"21. Works of art, collectors' pieces and antiques",0.29890420755413444,1,8,1065,1.2761999067744103,0.6102819169201406,5610.216807335578,1038272.0,7.283900341794342e-07,-0.12596999318582347,0.5782376549998853,9.67741935483871,-48.38709677419355,9.67741935483871,0.7081787484160982,0.7442772246280889,4.331586142734211e-06,0.24860924610634197,0.06666666666666667,0.5456516272193381,0.06666666666666667,0.40195613905353667
0101,Horses,Agriculture,1. Live animals; animal products,0.18223009410514832,11.842105263157894,42.981649942866845,5907,"Other textile fabrics impregnated, coated or covered",Textiles,11. Textiles and textile articles,0.2942652909467456,1,9,1065,2.6193110311049304,0.7175129872865689,6149.538001902117,41562176.0,2.9157556783975356e-05,0.10146072664137917,1.3540765068992027,100.0,41.93548387096774,100.0,0.832034449004189,0.8431993632304108,0.00017339401007007837,0.35872740350766796,1.0,0.6401669539097706,1.0,0.7481168677368394
0101,Horses,Agriculture,1. Live animals; animal products,0.18223009410514832,11.842105263157894,42.981649942866845,8112,Other metals,Metals,15. Base metals and articles of base metal,0.29380407716476964,1,10,1065,2.097705093104216,0.6400714587806073,6197.515719433607,12587103.0,8.830364667823131e-06,0.12568527308538435,0.6075565416207374,6.451612903225806,-48.387096774193544,6.451612903225806,0.7839342823748724,0.7717584870900867,5.2512367599211204e-05,0.3704565244475456,0.033333333333333326,0.6000688248350073,0.033333333333333326,0.4300481773845051
0101,Horses,Agriculture,1. Live animals; animal products,0.18223009410514832,11.842105263157894,42.981649942866845,3002,Serums and vaccines,Chemicals,6. Products of the chemical or allied industries,0.29177474919745344,1,11,1065,3.224425244547994,0.8078963650563413,5194.732761647607,8917261673.0,0.006255821725697532,0.09932298366082404,0.8886946420936201,25.806451612903224,-25.806451612903224,25.806451612903224,0.8878353752895398,0.9265792734796947,0.03720208875314146,0.35769234404782363,0.23333333333333328,0.6942792919893769,0.23333333333333328,0.5559955043925637
0201,Beef,Agriculture,1. Live animals; animal products,0.2075846273229386,86.8421052631579,55.48685596554347,0506,"Bones, simply prepared",Agriculture,1. Live animals; animal products,0.42847992857741657,1,1,1065,-0.9125515058275415,0.05821980779387901,5051.020336278767,4067423.0,2.8534626552504706e-06,0.4063768989584402,0.5731945243340715,6.451612903225806,-77.41935483870968,6.451612903225806,0.5063418827166097,0.23499232903335288,1.696895717445757e-05,0.506362723322559,0.033333333333333326,0.3354239279544469,0.033333333333333326,0.24479674956811284
0201,Beef,Agriculture,1. Live animals; animal products,0.2075846273229386,86.8421052631579,55.48685596554347,0401,Milk,Agriculture,1. Live animals; animal products,0.3908042715389589,1,2,1065,1.122868685927484,0.47019076745366956,2395.1577594812147,12302107.0,8.630428383129908e-06,-0.005651590582289701,0.5508169358116639,6.451612903225806,-58.064516129032256,6.451612903225806,0.6940392290300984,0.6150412106899167,5.1323387520450845e-05,0.30686540783435545,0.033333333333333326,0.5042156635852866,0.033333333333333326,0.3629509645097006
