candidate_hs4,candidate_product_name_short,anchor_count,anchors
4410,Particle board and similar board,12,"0207 - Poultry; 0404 - Whey; 1005 - Corn; 1107 - Malt; 1108 - Starches; 1206 - Sunflower seeds; 1702 - Other sugars; 2518 - Dolomite; 4411 - Fiberboard of wood; 6807 - Asphalt; 7304 - Tubes, seamless, of iron or steel; 7312 - Wire of iron or steel, not insulated"
6806,Mineral wools and insulating materials,12,"0207 - Poultry; 0404 - Whey; 0405 - Butter; 1001 - Wheat and meslin; 1107 - Malt; 1206 - Sunflower seeds; 2509 - Chalk; 2518 - Dolomite; 6807 - Asphalt; 7304 - Tubes, seamless, of iron or steel; 7312 - Wire of iron or steel, not insulated; 8702 - Buses"
0710,Frozen vegetables,11,"0409 - Honey; 0703 - Onions, shallots, garlic; 0711 - Vegetables, provisionally preserved; 0812 - Fruits and nuts, provisionally preserved; 1208 - Flours of oil seeds; 1209 - Seeds used for sowing; 1521 - Vegetable waxes and beeswax; 2005 - Other vegetables, prepared or preserved; 2102 - Yeasts; 3101 - Animal or vegetable fertilizers; 4411 - Fiberboard of wood"
2207,Ethyl alcohol > 80%,11,"0202 - Beef (frozen); 0402 - Milk, concentrated; 0510 - Animal products used in pharmaceuticals; 1005 - Corn; 1007 - Grain sorghum; 1201 - Soya beans; 1208 - Flours of oil seeds; 1507 - Soybean oil; 1702 - Other sugars; 2304 - Solid soybean residues; 2308 - Vegetable materials for animal feeding"
4404,Strips and other pieces of wood,11,0409 - Honey; 1005 - Corn; 1104 - Worked cereal grains; 1208 - Flours of oil seeds; 1512 - Sunflower seed oil; 2306 - Solid vegetable oil and fat residues; 2308 - Vegetable materials for animal feeding; 4403 - Wood in the rough; 4409 - Wood shaped along its edges; 4411 - Fiberboard of wood; 6809 - Plaster articles
4415,Packing boxes,11,"0402 - Milk, concentrated; 0406 - Cheese; 0409 - Honey; 1104 - Worked cereal grains; 1512 - Sunflower seed oil; 1602 - Other prepared or preserved meat; 1901 - Malt extract; 2306 - Solid vegetable oil and fat residues; 3823 - Industrial monocarboxylic fatty acids; 4403 - Wood in the rough; 4409 - Wood shaped along its edges"
4819,Cardboard packing containers,11,"0511 - Animal products n.e.c.; 1101 - Wheat or meslin flour; 1103 - Cereal meals; 1517 - Margarine; 1704 - Confectionery sugar; 2005 - Other vegetables, prepared or preserved; 2007 - Jams, jellies and marmalades; 2009 - Fruit juices; 2301 - Flours of fish, for animal feed; 2309 - Animal feed; 2522 - Quicklime"
0204,Lamb,10,0101 - Horses; 0201 - Beef; 0202 - Beef (frozen); 0205 - Horse meat; 0903 - Mate; 1007 - Grain sorghum; 1214 - Forage products; 1505 - Wool grease; 2204 - Wine; 5101 - Wool
0506,"Bones, simply prepared",10,"0201 - Beef; 0202 - Beef (frozen); 0206 - Edible offal; 0504 - Animal guts, except fish; 0510 - Animal products used in pharmaceuticals; 1108 - Starches; 1521 - Vegetable waxes and beeswax; 1702 - Other sugars; 2308 - Vegetable materials for animal feeding; 3503 - Gelatin"
1514,"Rapeseed, colza or mustard oil,",10,"0202 - Beef (frozen); 0405 - Butter; 1001 - Wheat and meslin; 1003 - Barley; 1107 - Malt; 1201 - Soya beans; 1214 - Forage products; 1502 - Bovine, sheep and goat fats; 2303 - Starch residues; 2304 - Solid soybean residues"
2001,Pickled fruits and vegetables,10,"0409 - Honey; 0711 - Vegetables, provisionally preserved; 0805 - Citrus fruit; 0812 - Fruits and nuts, provisionally preserved; 0813 - Fruits, dried; 0909 - Anise, fennel, etc.; 1209 - Seeds used for sowing; 2005 - Other vegetables, prepared or preserved; 2007 - Jams, jellies and marmalades; 2508 - Clays"
0403,Fermented milk products,9,"0402 - Milk, concentrated; 0405 - Butter; 0406 - Cheese; 0409 - Honey; 1602 - Other prepared or preserved meat; 1901 - Malt extract; 2301 - Flours of fish, for animal feed; 2309 - Animal feed; 2522 - Quicklime"
1904,Cereal foods,9,"1103 - Cereal meals; 1104 - Worked cereal grains; 1209 - Seeds used for sowing; 1517 - Margarine; 1704 - Confectionery sugar; 2005 - Other vegetables, prepared or preserved; 2007 - Jams, jellies and marmalades; 2009 - Fruit juices; 2309 - Animal feed"
1905,Bakery products,9,"0511 - Animal products n.e.c.; 1103 - Cereal meals; 1517 - Margarine; 1704 - Confectionery sugar; 2005 - Other vegetables, prepared or preserved; 2007 - Jams, jellies and marmalades; 2008 - Fruits and nuts, otherwise prepared; 2009 - Fruit juices; 2522 - Quicklime"
2106,Food preparations n.e.c.,9,"0511 - Animal products n.e.c.; 1517 - Margarine; 1704 - Confectionery sugar; 1901 - Malt extract; 2005 - Other vegetables, prepared or preserved; 2007 - Jams, jellies and marmalades; 2009 - Fruit juices; 2309 - Animal feed; 3301 - Essential oils"
2716,Electrical energy,9,"0511 - Animal products n.e.c.; 0813 - Fruits, dried; 1008 - Other cereals; 1104 - Worked cereal grains; 1208 - Flours of oil seeds; 1512 - Sunflower seed oil; 2304 - Solid soybean residues; 2522 - Quicklime; 4403 - Wood in the rough"
