CCOD_RUBRO,DESCRIP_RUBRO,value,share_cordoba,rca_cordoba_exports
306B,"Productos editoriales de la prensa o de otras industrias gráficas, textos manuscritos o mecanografiados y planos",17485.13,0.0%,0.0
312AD,"Aparatos y dispositivos para calentado y cocción de material, y sus partes",55134.35,5.05228E-06,0.007010313
305,"Manufacturas de cuero, marroquinería, etc.",7202.26,0.0%,0.0
309C,Vidrio y sus manufacturas,28448.41,2.60689E-06,0.003773623
105E,Frutas de carozo,3714.66,0.0%,0.0
302F,"Aceites esenciales y reisnoides (perfume, cosmética, tocador)",25276.14,0.0%,0.0
311B,Cobre,665.3,6.09653E-08,0.000353433
101,Animales Vivos,,0.0%,0.0
102A,Pescados,,0.0%,0.0
102B,Mariscos,,0.0%,0.0
105A,Manzanas,,0.0%,0.0
105B,Peras,,0.0%,0.0
105C,Cítricos,,0.0%,0.0
105D,Uvas de mesa,,0.0%,0.0
105Z,Resto de frutas frescas ,,0.0%,0.0
106ZD,Alpiste,,0.0%,0.0
106ZF,Arroz,,0.0%,0.0
108A,Tabaco sin elaborar en hojas,,0.0%,0.0
108Z,Resto de tabaco sin elaborar,,0.0%,0.0
109,Lanas sucias,,0.0%,0.0
201AB,Carne ovina o caprina,,0.0%,0.0
201AC,Carne porcina,,0.0%,0.0
201AE,Carne de Ave,,0.0%,0.0
201AZ,"Carnes frescas refrigeradas o congeladas excluido las bovinas,ovinas,caprinas,porcinas.aves,liebres y conejos",,0.0%,0.0
202AA,Filetes de pescado,,0.0%,0.0
202AZ,Resto de carnes de pescado excluido filetes,,0.0%,0.0
202B,Pescado conservado,,0.0%,0.0
205,Frutas secas o procesadas,,0.0%,0.0
206A,Té,,0.0%,0.0
206B,Yerba mate,,0.0%,0.0
206C,Café,,0.0%,0.0
208AD,Aceite de oliva,,0.0%,0.0
208AE,Aceite de girasol,,0.0%,0.0
208AZ,Otros aceites,,0.0%,0.0
208B,Grasas y sebos,,0.0%,0.0
209A,Azúcar de caña en bruto,,0.0%,0.0
209Z,Resto de azúcar  y artículos de confitería ,,0.0%,0.0
210A,Aceitunas,,0.0%,0.0
210C,Duraznos conservados,,0.0%,0.0
210D,Jugos de frutas y hortalizas,,0.0%,0.0
211A,Vino de uva,,0.0%,0.0
212AB,Subproductos oleaginosos de girasol,,0.0%,0.0
213A,Extracto de quebracho,,0.0%,0.0
213B,"Caseína,albúminas,gelatinas y sus derivados",,0.0%,0.0
214A,Pieles y cueros en bruto,,0.0%,0.0
214B,Pieles y cueros preparados,,0.0%,0.0
215,Lanas elaboradas,,0.0%,0.0
302JA,Biodiesel,,0.0%,0.0
307A,Textiles sintéticos o artificiales continuos,,0,0
307C,Hilados y tejidos de algodón,,0,0
307D,Textiles sintéticos o artificiales discontinuos,,0,0
307E,"Alfombras, tapices, terciopelo, felpas, etc.",,0,0
307G,Géneros de punto,,0,0
308,Calzado y sus componentes,,0,0
309B,Productos cerámicos,,0,0
310A,Piedras y metales preciosos,,0,0
311AA,"Barras de fundición,hierro o acero",,0,0
311AB,"Perfiles estructurales de fundición,hierro o acero",,0,0
