iso3_d,hs92,potential_market_size_2020,potential_market_size_2024,potential_market_growth_5y
AFG,1301,68401404.0,3846240.0,-0.43766609055547867
AFG,1302,40089424.0,449421.0,-0.5926903410584408
AFG,1401,1813250.0,757134.0,-0.1602635348960333
AFG,1402,54988.0,37182.0,-0.07527422166938347
AFG,1403,355224.0,176248.0,-0.13079066983429277
AFG,1404,1809952.0,1153334.0,-0.0861864204451499
AFG,1502,66704643.0,640440.0,-0.6051206010871613
AFG,1504,0.0,1018.0,0.0
AFG,1506,7856.0,0.0,0.0
AFG,1507,3701874.0,248750.0,-0.4172687730503709
AFG,1509,1145517.0,22391.0,-0.5447872787306753
AFG,1510,0.0,0.0,0.0
AFG,1511,498871096.0,670410348.0,0.060890287391125675
AFG,1512,570931812.0,182891265.0,-0.2036174336553903
AFG,1513,8742.0,62780.0,0.483344760212685
AFG,1514,3056442.0,140029.0,-0.4602404119452884
AFG,1515,38526180.0,2991624.0,-0.4001671976120975
AFG,1516,243344526.0,83466600.0,-0.19265673190954036
AFG,1517,8530964.0,19126137.0,0.17523801399230376
AFG,1518,2025808.0,0.0,0.0
AFG,1519,3285476.0,6502.0,-0.7120681330490681
AFG,1520,172288.0,304536.0,0.12066735700404552
AFG,1521,55230.0,1200.0,-0.5350553651972185
AFG,1522,220068.0,0.0,0.0
AFG,1601,8079783.0,25999.0,-0.6826698117215082
AFG,1602,19746360.0,349702.0,-0.5536842497567376
AFG,1603,95218.0,0.0,0.0
AFG,1604,42196332.0,28680.0,-0.7674796921590697
AFG,1605,290840.0,50996.0,-0.2940460130475856
AFG,1701,3155864940.0,3031510222.0,-0.008008100728746026
AFG,1702,18144335.0,30382810.0,0.10860638714106163
AFG,1703,29292.0,0.0,0.0
AFG,1704,762968961.0,66018175.0,-0.3870411373086847
AFG,1801,1421.0,0.0,0.0
AFG,1802,1994.0,0.0,0.0
AFG,1804,1227.0,6187.0,0.38206067779123254
AFG,1805,649593.0,1155622.0,0.12210860536615176
AFG,1806,77183440.0,13099820.0,-0.29862829814350667
AFG,1901,248326806.0,162984768.0,-0.08076895514605786
AFG,1902,242580376.0,18437865.0,-0.40272959860549185
AFG,1903,1853284.0,63791.0,-0.49024266131193217
AFG,1904,4447624.0,1616204.0,-0.18327918828427137
AFG,1905,750812634.0,52536225.0,-0.4125303183864255
AFG,2001,4170705.0,2681700.0,-0.08453837515241758
AFG,2002,205535145.0,70934.0,-0.7969543585714447
AFG,2003,370288.0,0.0,0.0
AFG,2004,1496295.0,0.0,0.0
AFG,2005,107650975.0,5333324.0,-0.451728084793277
AFG,2006,7964120.0,0.0,0.0
AFG,2007,58451248.0,6851816.0,-0.34866805236477283
AFG,2008,279760530.0,102145264.0,-0.18250264038719355
AFG,2009,303110236.0,3440493.0,-0.5916768386213672
AFG,2101,26535985.0,3257517.0,-0.3426293718292863
AFG,2102,50157265.0,3002238.0,-0.4305937181259366
AFG,2103,17448949.0,5073570.0,-0.21889597325595544
AFG,2104,8921370.0,679592.0,-0.40246501024121484
AFG,2105,634868.0,538848.0,-0.03226473450449008
AFG,2106,565386670.0,574001134.0,0.0030288784458989415
AFG,2201,3433371.0,51134.0,-0.5688803614154221
AFG,2202,120713592.0,113680338.0,-0.011934269794796726
AFG,2203,1405192.0,0.0,0.0
AFG,2204,1632795.0,63258.0,-0.4780405569835554
AFG,2205,3080.0,0.0,0.0
AFG,2206,336008.0,1442.0,-0.6638577300168802
AFG,2207,7377415.0,0.0,0.0
AFG,2208,59801712.0,33094395.0,-0.11160078566565812
AFG,2209,2661076.0,26176.0,-0.6032022500864208
AFG,2301,214221.0,0.0,0.0
AFG,2302,394008.0,789669.0,0.1491798698799207
AFG,2303,0.0,1139748.0,0.0
AFG,2304,62937055.0,135365312.0,0.16552124520059563
AFG,2306,2860656.0,1432074.0,-0.1292370043595794
AFG,2308,3988990.0,6051054.0,0.08691007947560991
AFG,2309,23435022.0,22054470.0,-0.012069821771765077
AFG,2401,828339.0,0.0,0.0
AFG,2402,2363799440.0,45854280.0,-0.545479107666412
AFG,2403,212714320.0,28693372.0,-0.33012006081214396
AFG,2501,27931144.0,21674320.0,-0.049457911644151475
AFG,2502,6361.0,0.0,0.0
AFG,2503,880200.0,513838.0,-0.1020565830467095
AFG,2504,145272.0,76585.0,-0.12018297778225517
AFG,2505,122268.0,135784.0,0.021191421783063102
AFG,2506,0.0,0.0,0.0
AFG,2507,63693.0,64920.0,0.003823506264448051
AFG,2508,2155269.0,172380.0,-0.39661143036689117
AFG,2509,31697.0,10980.0,-0.191059021432179
AFG,2511,0.0,108665.0,0.0
AFG,2512,9770.0,0.0,0.0
AFG,2513,120760.0,0.0,0.0
AFG,2515,420035.0,711690.0,0.11122262868802069
AFG,2516,79278.0,0.0,0.0
AFG,2517,0.0,93796.0,0.0
AFG,2519,20332.0,1155.0,-0.4365175728227878
AFG,2520,5068640.0,54043.0,-0.5967544341252271
AFG,2522,42414.0,0.0,0.0
AFG,2523,776984500.0,346199688.0,-0.14928740361203885
AFG,2525,0.0,0.0,0.0
AFG,2526,5288689.0,56350.0,-0.5968105327722064
AFG,2529,0.0,0.0,0.0
AFG,2530,148336.0,0.0,0.0
AFG,2607,0.0,0.0,0.0
AFG,2608,0.0,0.0,0.0
AFG,2610,0.0,0.0,0.0
AFG,2618,0.0,0.0,0.0
AFG,2619,0.0,0.0,0.0
AFG,2620,67988.0,5999.0,-0.3846399196875814
AFG,2621,46657.0,2541.0,-0.4412499553019189
AFG,2701,216315.0,48272.0,-0.25916459158285265
AFG,2703,59626.0,0.0,0.0
AFG,2705,0.0,0.0,0.0
AFG,2706,0.0,0.0,0.0
AFG,2707,0.0,0.0,0.0
AFG,2710,2532679968.0,1493300018.0,-0.10026761868557155
AFG,2711,378014550.0,57746091.0,-0.3132434426199998
AFG,2712,939858.0,279166.0,-0.21555941248668342
AFG,2713,1026584.0,0.0,0.0
AFG,2714,0.0,0.0,0.0
AFG,2715,95301.0,2446.0,-0.5193025713639886
AFG,2716,192967297.0,0.0,0.0
AFG,2801,9003152.0,13068.0,-0.729378118792337
AFG,2802,58641.0,0.0,0.0
AFG,2803,119984.0,0.0,0.0
AFG,2804,5633757.0,0.0,0.0
AFG,2806,1912.0,3601.0,0.13497696322293717
AFG,2807,1810.0,0.0,0.0
AFG,2808,848684.0,9312.0,-0.5944360067520309
AFG,2809,0.0,0.0,0.0
AFG,2810,2352.0,5092.0,0.16705202231698846
AFG,2811,3112428.0,1239207.0,-0.168219166400298
AFG,2812,6088.0,0.0,0.0
AFG,2814,4796.0,0.0,0.0
AFG,2815,6509748.0,440157.0,-0.416543224901479
AFG,2816,67468.0,56193.0,-0.03591155772636201
AFG,2817,48996.0,2141.0,-0.4653233623912896
AFG,2818,175550.0,109988.0,-0.08927156962237248
AFG,2819,34371.0,0.0,0.0
AFG,2821,25364.0,50874.0,0.1493588076799559
AFG,2824,1386.0,0.0,0.0
AFG,2825,33816.0,0.0,0.0
AFG,2826,10559.0,0.0,0.0
AFG,2827,471856.0,107136.0,-0.2565954939817411
AFG,2828,2643108.0,484854.0,-0.2876405093177139
AFG,2829,74399.0,464870.0,0.4426231078333078
AFG,2831,180738.0,42000.0,-0.2531386872849003
AFG,2833,5751190.0,458108.0,-0.39710451417159576
AFG,2834,7011.0,2067.0,-0.21672890174545878
AFG,2835,4400448.0,1472415.0,-0.19664654101473245
AFG,2836,20437655.0,11036028.0,-0.11595098216723176
AFG,2839,1777344.0,39915.0,-0.5319708226313404
AFG,2842,4386.0,85777.0,0.8124266737365597
AFG,2844,6151.0,0.0,0.0
AFG,2847,171270.0,177650.0,0.007341631358560141
AFG,2848,111718.0,56288.0,-0.12811635106206742
AFG,2849,1775908.0,8255.0,-0.6584460416868325
AFG,2850,45254.0,0.0,0.0
AFG,2851,359145.0,120353.0,-0.19640464242294375
AFG,2901,29304696.0,0.0,0.0
AFG,2902,22268578.0,0.0,0.0
AFG,2903,13652856.0,0.0,0.0
AFG,2904,2200.0,0.0,0.0
AFG,2905,4401090.0,485600.0,-0.35650720935069147
AFG,2906,533038.0,18308.0,-0.4904620369427024
AFG,2907,114727.0,22989.0,-0.2749451055368396
AFG,2908,0.0,0.0,0.0
AFG,2909,1577100.0,7468.0,-0.6571777384979903
AFG,2910,0.0,2604.0,0.0
AFG,2912,111392.0,122088.0,0.018506477911989005
AFG,2914,4131.0,1340.0,-0.201619500606383
AFG,2915,9183370.0,739245.0,-0.3958326347882306
AFG,2916,460326.0,243111.0,-0.11986798084272599
AFG,2917,20518700.0,6446457.0,-0.20670585366579863
AFG,2918,9172272.0,6160435.0,-0.07652128299056804
AFG,2919,7064.0,255505.0,1.0496029738982102
AFG,2920,0.0,655604.0,0.0
AFG,2921,1802670.0,736737.0,-0.1638595188431473
AFG,2922,9460112.0,6774330.0,-0.06460721844998396
AFG,2923,89750.0,135204.0,0.0854029975241879
AFG,2924,594612.0,481824.0,-0.041193539151392344
AFG,2925,91797.0,216042.0,0.18670272642930974
AFG,2926,15258.0,0.0,0.0
