iso3_o,iso3_d,dist
ABW,TZA,12271.0
ABW,UGA,11380.0
ABW,UKR,9677.0
ABW,URY,5442.0
ABW,USA,3148.0
ABW,UZB,12735.0
ABW,VAT,8473.0
ABW,VCT,958.0
ABW,VEN,411.0
ABW,VGB,873.0
ABW,VNM,17405.0
ABW,VUT,13759.0
ABW,WLF,12052.0
ABW,WSM,11591.0
ABW,YEM,12159.0
ABW,ZAF,11417.0
ABW,ZMB,11256.0
ABW,ZWE,11592.0
AFG,ABW,13256.0
AFG,AGO,7593.0
AFG,AIA,12295.0
AFG,ALB,4345.0
AFG,AND,5810.0
AFG,ARE,1684.0
AFG,ARG,15271.0
AFG,ARM,2265.0
AFG,ASM,13651.0
AFG,ATG,12303.0
AFG,AUS,11194.0
AFG,AUT,4571.0
AFG,AZE,1821.0
AFG,BDI,5912.0
AFG,BEL,5420.0
AFG,BEN,7487.0
AFG,BES,13169.0
AFG,BFA,7482.0
AFG,BGD,2382.0
AFG,BGR,4043.0
AFG,BHR,2006.0
AFG,BHS,12528.0
AFG,BIH,4438.0
AFG,BLR,3878.0
AFG,BLZ,13820.0
AFG,BMU,11186.0
AFG,BOL,15338.0
AFG,BRA,13759.0
AFG,BRB,12467.0
AFG,BRN,5734.0
AFG,BTN,2101.0
AFG,BWA,7986.0
AFG,CAF,6186.0
AFG,CAN,10777.0
AFG,CCK,5939.0
AFG,CHE,5165.0
AFG,CHL,16337.0
AFG,CHN,4852.0
AFG,CIV,8139.0
AFG,CMR,6833.0
AFG,COD,7087.0
AFG,COG,7085.0
AFG,COK,15040.0
AFG,COL,14220.0
AFG,COM,5803.0
AFG,CPV,9326.0
AFG,CRI,14339.0
AFG,CUB,12956.0
AFG,CUW,13218.0
AFG,CXR,6291.0
AFG,CYM,13288.0
AFG,CYP,3258.0
AFG,CZE,4712.0
AFG,DEU,4787.0
AFG,DJI,3661.0
AFG,DMA,12420.0
AFG,DNK,4861.0
AFG,DOM,12721.0
AFG,DZA,5871.0
AFG,ECU,15209.0
AFG,EGY,3587.0
AFG,ERI,3697.0
AFG,ESH,7704.0
AFG,ESP,6295.0
AFG,EST,4239.0
AFG,ETH,4195.0
AFG,FIN,4259.0
AFG,FJI,12875.0
AFG,FLK,15425.0
AFG,FRA,5594.0
AFG,FRO,5965.0
AFG,FSM,9489.0
AFG,GAB,7250.0
AFG,GBR,5720.0
AFG,GEO,2268.0
AFG,GHA,7835.0
AFG,GIB,6599.0
AFG,GIN,8761.0
AFG,GLP,12387.0
AFG,GMB,8802.0
AFG,GNB,8800.0
AFG,GNQ,7122.0
AFG,GRC,4060.0
AFG,GRD,12710.0
AFG,GRL,7911.0
AFG,GTM,14161.0
AFG,GUF,12505.0
AFG,GUM,7863.0
AFG,GUY,12845.0
AFG,HKG,4574.0
AFG,HND,14077.0
AFG,HRV,4610.0
AFG,HTI,12866.0
AFG,HUN,4371.0
AFG,IDN,5999.0
AFG,IND,1002.0
AFG,IOT,4635.0
AFG,IRL,6091.0
AFG,IRN,1621.0
AFG,IRQ,2288.0
AFG,ISL,6662.0
AFG,ISR,3199.0
AFG,ITA,4941.0
AFG,JAM,13173.0
AFG,JOR,3096.0
AFG,JPN,6282.0
AFG,KAZ,1177.0
AFG,KEN,5206.0
AFG,KGZ,1038.0
AFG,KHM,4420.0
AFG,KIR,11192.0
AFG,KNA,12350.0
AFG,KOR,5137.0
AFG,KWT,2079.0
AFG,LAO,3784.0
AFG,LBN,3091.0
AFG,LBR,8700.0
AFG,LBY,5125.0
AFG,LCA,12496.0
AFG,LIE,5091.0
AFG,LKA,3246.0
AFG,LSO,8315.0
AFG,LTU,4046.0
AFG,LUX,5310.0
AFG,LVA,4186.0
AFG,MAC,4520.0
AFG,MAR,6902.0
AFG,MCO,5312.0
AFG,MDA,3626.0
AFG,MDG,6343.0
AFG,MDV,3390.0
AFG,MEX,13907.0
AFG,MHL,10676.0
AFG,MKD,4204.0
AFG,MLI,8058.0
AFG,MLT,4912.0
AFG,MMR,3327.0
AFG,MNE,4378.0
AFG,MNG,3449.0
AFG,MNP,7853.0
AFG,MOZ,7735.0
AFG,MRT,8462.0
AFG,MSR,12355.0
AFG,MTQ,12453.0
AFG,MUS,6178.0
AFG,MWI,6543.0
AFG,MYS,4836.0
AFG,MYT,5816.0
AFG,NAM,8380.0
AFG,NCL,12022.0
AFG,NER,7080.0
AFG,NFK,12523.0
AFG,NGA,7393.0
AFG,NIC,14229.0
AFG,NIU,13992.0
AFG,NLD,5366.0
AFG,NOR,5017.0
AFG,NPL,1713.0
AFG,NRU,10756.0
AFG,NZL,13464.0
AFG,OMN,1587.0
AFG,PAK,1086.0
AFG,PAN,14174.0
AFG,PCN,17990.0
AFG,PER,15795.0
AFG,PHL,5622.0
AFG,PLW,7294.0
AFG,PNG,9522.0
AFG,POL,4268.0
AFG,PRI,12480.0
AFG,PRK,4994.0
AFG,PRT,6799.0
AFG,PRY,14848.0
AFG,PSE,3245.0
AFG,PYF,15750.0
AFG,QAT,1992.0
AFG,REU,6302.0
AFG,ROU,3817.0
AFG,RUS,3370.0
AFG,RWA,5742.0
AFG,SAU,2426.0
AFG,SDN,4219.0
AFG,SEN,8796.0
AFG,SGP,5147.0
AFG,SHN,9677.0
AFG,SLB,10672.0
AFG,SLE,8789.0
AFG,SLV,14202.0
AFG,SMR,4909.0
AFG,SOM,4364.0
AFG,SPM,9478.0
AFG,SRB,4264.0
AFG,SSD,5077.0
AFG,STP,7493.0
AFG,SUR,12673.0
AFG,SVK,4516.0
AFG,SVN,4722.0
AFG,SWE,4599.0
AFG,SWZ,7839.0
AFG,SXM,12311.0
AFG,SYC,4566.0
AFG,SYR,3024.0
AFG,TCA,12529.0
AFG,TCD,5984.0
AFG,TGO,7611.0
AFG,THA,3905.0
AFG,TJK,446.0
AFG,TKL,13303.0
AFG,TKM,1041.0
AFG,TLS,7609.0
AFG,TON,13619.0
AFG,TTO,12805.0
AFG,TUN,5261.0
AFG,TUR,3583.0
AFG,TUV,12380.0
AFG,TWN,5109.0
AFG,TZA,5553.0
AFG,UGA,5368.0
AFG,UKR,3580.0
AFG,URY,15081.0
AFG,USA,10862.0
AFG,UZB,748.0
AFG,VAT,4943.0
AFG,VCT,12582.0
AFG,VEN,13213.0
AFG,VGB,12385.0
AFG,VNM,4624.0
AFG,VUT,11931.0
AFG,WLF,13091.0
AFG,WSM,13527.0
AFG,YEM,3279.0
AFG,ZAF,8000.0
AFG,ZMB,7019.0
AFG,ZWE,7061.0
AGO,ABW,9505.0
AGO,AFG,7593.0
AGO,AIA,8895.0
AGO,ALB,5595.0
AGO,AND,5809.0
AGO,ARE,5919.0
AGO,ARG,7780.0
AGO,ARM,6309.0
AGO,ASM,17412.0
AGO,ATG,8742.0
AGO,AUS,12821.0
AGO,AUT,6326.0
AGO,AZE,6623.0
AGO,BDI,1884.0
AGO,BEL,6668.0
AGO,BEN,2077.0
AGO,BES,9309.0
AGO,BFA,2858.0
AGO,BGD,9121.0
AGO,BGR,5798.0
AGO,BHR,5599.0
AGO,BHS,10485.0
AGO,BIH,5857.0
AGO,BLR,7082.0
AGO,BLZ,11572.0
AGO,BMU,9423.0
AGO,BOL,8829.0
AGO,BRA,6559.0
AGO,BRB,8410.0
AGO,BRN,11387.0
AGO,BTN,9144.0
AGO,BWA,2208.0
AGO,CAF,1574.0
AGO,CAN,10896.0
AGO,CCK,9122.0
AGO,CHE,6242.0
AGO,CHL,8912.0
AGO,CHN,12250.0
AGO,CIV,2476.0
AGO,CMR,1418.0
AGO,COD,549.0
AGO,COG,554.0
AGO,COK,16593.0
AGO,COL,9802.0
AGO,COM,3302.0
AGO,CPV,4831.0
AGO,CRI,10979.0
AGO,CUB,10968.0
AGO,CUW,9380.0
AGO,CXR,10106.0
AGO,CYM,10818.0
AGO,CYP,5310.0
AGO,CZE,6529.0
AGO,DEU,6799.0
AGO,DJI,4008.0
AGO,DMA,8650.0
AGO,DNK,7150.0
AGO,DOM,9609.0
AGO,DZA,5158.0
AGO,ECU,10326.0
AGO,EGY,4714.0
AGO,ERI,3896.0
AGO,ESH,4898.0
AGO,ESP,5724.0
AGO,EST,7638.0
AGO,ETH,3450.0
AGO,FIN,7720.0
AGO,FJI,16613.0
AGO,FLK,7940.0
AGO,FRA,6479.0
AGO,FRO,8044.0
AGO,FSM,16164.0
AGO,GAB,1103.0
AGO,GBR,6808.0
AGO,GEO,6458.0
AGO,GHA,2380.0
AGO,GIB,5346.0
AGO,GIN,3609.0
AGO,GLP,8702.0
AGO,GMB,4124.0
AGO,GNB,3927.0
AGO,GNQ,1244.0
AGO,GRC,5294.0
AGO,GRD,8611.0
AGO,GRL,9715.0
AGO,GTM,11735.0
AGO,GUF,7434.0
AGO,GUM,14723.0
AGO,GUY,8107.0
AGO,HKG,11507.0
AGO,HND,11372.0
AGO,HRV,6059.0
AGO,HTI,9863.0
AGO,HUN,6266.0
AGO,IDN,10308.0
AGO,IND,8019.0
AGO,IOT,6518.0
AGO,IRL,7132.0
AGO,IRN,6351.0
AGO,IRQ,5716.0
AGO,ISL,8613.0
AGO,ISR,5075.0
AGO,ITA,5618.0
AGO,JAM,10320.0
AGO,JOR,5120.0
AGO,JPN,13852.0
AGO,KAZ,8625.0
AGO,KEN,2743.0
AGO,KGZ,8437.0
AGO,KHM,10394.0
AGO,KIR,17640.0
AGO,KNA,8838.0
AGO,KOR,12697.0
AGO,KWT,5634.0
AGO,LAO,10250.0
AGO,LBN,5282.0
AGO,LBR,3149.0
AGO,LBY,4616.0
AGO,LCA,8577.0
AGO,LIE,6211.0
AGO,LKA,7593.0
AGO,LSO,2712.0
AGO,LTU,7130.0
AGO,LUX,6512.0
AGO,LVA,7359.0
AGO,MAC,11440.0
AGO,MAR,5188.0
AGO,MCO,5851.0
AGO,MDA,6376.0
AGO,MDG,3863.0
AGO,MDV,6842.0
AGO,MEX,12680.0
AGO,MHL,17620.0
AGO,MKD,5691.0
AGO,MLI,3341.0
AGO,MLT,4953.0
AGO,MMR,9553.0
AGO,MNE,5711.0
AGO,MNG,11004.0
AGO,MNP,14827.0
AGO,MOZ,2779.0
AGO,MRT,4379.0
AGO,MSR,8772.0
AGO,MTQ,8600.0
AGO,MUS,4917.0
AGO,MWI,2312.0
AGO,MYS,9901.0
AGO,MYT,3523.0
AGO,NAM,1573.0
AGO,NCL,15503.0
AGO,NER,2761.0
AGO,NFK,15019.0
AGO,NGA,2013.0
AGO,NIC,11245.0
AGO,NIU,16900.0
AGO,NLD,6829.0
AGO,NOR,7625.0
AGO,NPL,8739.0
AGO,NRU,16936.0
AGO,NZL,14593.0
AGO,OMN,6101.0
AGO,PAK,6929.0
AGO,PAN,10469.0
AGO,PCN,14460.0
AGO,PER,9843.0
AGO,PHL,12162.0
AGO,PLW,13565.0
AGO,PNG,14542.0
AGO,POL,6807.0
AGO,PRI,9215.0
AGO,PRK,12569.0
AGO,PRT,5752.0
AGO,PRY,7680.0
AGO,PSE,5005.0
AGO,PYF,16537.0
AGO,QAT,5602.0
AGO,REU,4718.0
AGO,ROU,6040.0
AGO,RUS,7506.0
AGO,RWA,2013.0
AGO,SAU,5192.0
AGO,SDN,3436.0
AGO,SEN,4271.0
AGO,SGP,10108.0
AGO,SHN,2204.0
AGO,SLB,15823.0
AGO,SLE,3504.0
AGO,SLV,11580.0
AGO,SMR,5844.0
AGO,SOM,3760.0
AGO,SPM,9194.0
AGO,SRB,5986.0
AGO,SSD,2537.0
AGO,STP,1245.0
AGO,SUR,7762.0
AGO,SVK,6324.0
AGO,SVN,6080.0
AGO,SWE,7569.0
AGO,SWZ,2704.0
AGO,SXM,8889.0
AGO,SYC,4688.0
AGO,SYR,5284.0
AGO,TCA,9796.0
AGO,TCD,2325.0
AGO,TGO,2126.0
AGO,THA,9958.0
AGO,TJK,7777.0
AGO,TKL,17931.0
AGO,TKM,6985.0
AGO,TLS,12289.0
AGO,TON,16564.0
AGO,TTO,8555.0
AGO,TUN,5064.0
AGO,TUR,5750.0
AGO,TUV,17546.0
AGO,TWN,12260.0
AGO,TZA,2879.0
AGO,UGA,2372.0
AGO,UKR,6778.0
AGO,URY,7577.0
AGO,USA,10415.0
AGO,UZB,7961.0
AGO,VAT,5619.0
AGO,VCT,8581.0
AGO,VEN,9127.0
AGO,VGB,9060.0
AGO,VNM,10570.0
AGO,VUT,16001.0
AGO,WLF,17351.0
AGO,WSM,17438.0
AGO,YEM,4339.0
AGO,ZAF,2478.0
AGO,ZMB,1791.0
AGO,ZWE,2169.0
AIA,ABW,978.0
AIA,AFG,12295.0
AIA,AGO,8895.0
AIA,ALB,8112.0
AIA,AND,6592.0
AIA,ARE,11797.0
AIA,ARG,5867.0
AIA,ARM,10134.0
AIA,ASM,12335.0
AIA,ATG,177.0
AIA,AUS,16535.0
AIA,AUT,7744.0
AIA,AZE,10532.0
AIA,BDI,10389.0
AIA,BEL,6876.0
AIA,BEN,7199.0
AIA,BES,874.0
AIA,BFA,6611.0
AIA,BGD,14552.0
AIA,BGR,8370.0
AIA,BHR,11331.0
AIA,BHS,1660.0
AIA,BIH,7951.0
AIA,BLR,8431.0
AIA,BLZ,2727.0
AIA,BMU,1569.0
AIA,BOL,3880.0
AIA,BRA,4953.0
AIA,BRB,676.0
AIA,BRN,17434.0
AIA,BTN,14162.0
AIA,BWA,10741.0
AIA,CAF,8981.0
AIA,CAN,3215.0
AIA,CCK,17772.0
AIA,CHE,7159.0
AIA,CHL,5775.0
AIA,CHN,14512.0
AIA,CIV,6561.0
AIA,CMR,8253.0
AIA,COD,8943.0
AIA,COG,8937.0
