hs4,market_growth_5y,total_trade,market_size_share,country_current_exports,country_export_growth_5y,country_market_share_2020,country_market_share_2024,market_share_change_abs,distance_travelled,eff_num_exp,country_exporter_rank,accessible_market_size,accessible_market_growth_5y,dai_index,dai_percentile,dai_lead,raw_rca_trade,market_size,accessible_market_size_share,accessible_market_to_market_ratio,above_median_cagr,above_median_export_cagr,above_median_accessible_market_growth
0101,0.009503781553418467,4059210559.0,0.00018783704038809169,30883241.0,0.12916202709044455,0.004345499637416102,0.007608188969534063,0.0032626893321179616,3487.7430791343827,8.742436816948011,13.0,20520831.0,0.17047440954373272,0.5544080171553266,10.0,-66.66666666666667,2.1650962945174275,4059210559.0,1.4396197521921417e-05,0.00505537485718784,False,True,True
0102,0.04234314640956116,11274147712.0,0.0005217030524383437,166937.0,-0.16925567997429614,4.6045326511453146e-05,1.4807061630238821e-05,-3.123826488121432e-05,3185.4166205729575,13.387020942771434,70.0,2410793.0,-0.004298670155194362,0.7385398157420425,12.903225806451612,-61.29032258064515,0.004213711620031512,11274147712.0,1.6912693356553395e-06,0.00021383372487074968,True,False,False
0103,0.027560818399648968,4902724123.0,0.00022687002206914155,51866.0,-0.059027702747027844,1.6428533234949722e-05,1.0579016623979028e-05,-5.849516610970693e-06,929.48535126946,5.699110386969889,42.0,164128.0,0.18477756584255434,0.4430418582277367,6.451612903225806,-41.935483870967744,0.0030105179805514177,4902724123.0,1.1514246703156994e-07,3.3476898940740174e-05,False,False,True
0104,0.049642125527108005,2044996517.0,9.463073860644138e-05,31670.0,0.12326181670503678,1.1034604464774295e-05,1.5486578943645212e-05,4.451974478870917e-06,2129.7976616827946,5.903817863392615,67.0,121882.0,-0.06668399758370469,1.3420932777979477,64.51612903225806,-12.903225806451616,0.004407084894960396,2044996517.0,8.550517990069828e-08,5.9600101509610544e-05,True,True,False
0105,0.04964633411938357,3883969355.0,0.00017972788008833256,1979783.0,0.025627887980055997,0.0005722787980930276,0.0005097318796945039,-6.25469183985237e-05,1791.9838514347532,11.936993829473,51.0,26123495.0,0.03838718634055205,1.0472345910202134,29.03225806451613,-22.580645161290317,0.14505667621338814,3883969355.0,1.8326694176416467e-05,0.006725978660560261,True,True,False
0106,0.06555122826392212,1670672044.0,7.73091436482154e-05,1167915.0,0.128434422865094,0.0005248196313455412,0.0006990689789743079,0.00017424934762876672,4239.912722296348,17.886143412089382,59.0,2122258.0,0.02979615465575658,0.6167629335481775,3.225806451612903,-67.74193548387098,0.19893717966919106,1670672044.0,1.488850298532155e-06,0.0012703019767534938,True,True,False
0201,0.07386017681017387,31920813180.0,0.001477112602897225,1022988020.0,0.08053306742137178,0.031070266412587103,0.03204768043443685,0.000977414021849747,3923.723301530341,15.516897711757311,12.0,6169678422.0,0.1532411403353391,1.7855001757301345,100.0,46.666666666666664,9.119951467336808,31920813180.0,0.004328280331817383,0.19328074091375638,True,True,True
0202,0.06264465985553658,34941390826.0,0.001616887654484311,2106554229.0,0.0032062134894221828,0.08039364308645278,0.06028821919225111,-0.02010542389420167,11134.143518508934,7.135741089408405,6.0,21033010558.0,0.07880566721601223,0.9843359766556302,56.666666666666664,-30.000000000000007,17.1564876344273,34941390826.0,0.014755512312031935,0.601951154799175,True,True,True
0203,-0.008989730439058152,36032538561.0,0.001667379728790272,7623275.0,-0.332956550545067,0.0015313232742380212,0.00021156641481405615,-0.001319756859423965,5854.33638103792,9.623679027623849,41.0,1110462635.0,0.1256471772855341,0.8750767546162774,19.35483870967742,-48.38709677419354,0.060206398998828015,36032538561.0,0.0007790347006012246,0.030818329192101798,False,False,True
0204,0.03723951139029813,8740612025.0,0.00040446551616209593,18556331.0,-0.019985721614163898,0.002819574088444201,0.0021230013352526076,-0.0006965727531915932,9070.491862317158,4.003515098557859,23.0,1873563013.0,0.08152166993689058,0.648952826484111,6.666666666666667,-59.99999999999999,0.6041519660745845,8740612025.0,0.0013143806508086452,0.21435146733903912,False,False,True
