hs92,eff_num_exp,travelled_distance,5yr_growth,above_median,product_name_short,sector,green_product
0101,18.296906131612843,3487.7430791343827,0.009503781553418467,False,Horses,Agriculture,False
0102,25.886269717028377,3185.4166205729575,0.04234314640956116,True,Bovine,Agriculture,False
0103,16.55307438031476,929.48535126946,0.027560818399648968,False,Swine,Agriculture,False
0104,19.331279008877736,2129.7976616827946,0.049642125527108005,True,Sheep,Agriculture,False
0105,31.207076853422663,1791.9838514347532,0.04964633411938357,True,Fowl,Agriculture,False
0106,73.97480247064583,4239.912722296348,0.06555122826392212,True,Other live animals,Agriculture,False
0201,52.998302974156836,3923.723301530341,0.07386017681017387,True,Beef,Agriculture,False
0202,22.960877382400813,11134.143518508934,0.06264465985553658,True,Beef (frozen),Agriculture,False
0203,74.00563545298856,5854.33638103792,-0.008989730439058152,False,Pork,Agriculture,False
0204,23.298137689263037,9070.491862317158,0.03723951139029813,False,Lamb,Agriculture,False
0205,26.631310924411764,5339.2354468241465,-0.010734473340900164,False,Horse meat,Agriculture,False
0206,46.23052315059603,8309.774533184132,0.02976570464764583,False,Edible offal,Agriculture,False
0207,90.99414016440939,5678.874304214331,0.07031087877214559,True,Poultry,Agriculture,False
0208,82.3480201910489,4554.969098997806,0.039558676262196224,False,Other meat,Agriculture,False
0209,88.91167746557595,5112.10653971593,-0.01613733270621276,False,Pig and poultry fat,Agriculture,False
0210,53.823270458588,3044.150915236552,0.047270088563569734,True,Preserved meat,Agriculture,False
0301,28.293578879278908,3159.4636657461474,0.05434824378810865,True,Live Fish,Agriculture,False
0302,70.59865769549879,2515.349290940306,0.05510143477695939,True,"Fish, excluding fillets",Agriculture,False
0303,119.25633998136753,6406.502505477153,0.02205487188083244,False,"Frozen fish, excluding fillets",Agriculture,False
0304,57.83368368906814,6253.796460133781,0.040656469576617615,False,Fish fillets,Agriculture,False
0305,69.81066611695223,3679.0750430733256,0.005556468255802471,False,Preserved fish,Agriculture,False
0306,34.918031132112255,7996.864083907006,0.022209330877286604,False,Crustaceans,Agriculture,False
0307,93.75809891605947,5421.32825105465,0.05495073535690298,True,Molluscs,Agriculture,False
0401,54.63850252126317,2395.1577594812147,0.06155460026750714,True,Milk,Agriculture,False
0402,66.58197315372115,6214.105849931662,-0.00871706705874653,False,"Milk, concentrated",Agriculture,False
0403,97.77217796233444,1916.8935656210424,0.042484856021732575,True,Fermented milk products,Agriculture,False
0404,94.74740197466436,5922.50272109728,0.014995058244801962,False,Whey,Agriculture,False
